                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.0752,                0.59224,                 1.0754,                0.95651,                 0.9541,                0.98506,                0.65872,                 1.2555,                0.56705,                 1.2254,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.093,                0.61152,                 1.0771,                0.94097,                 0.9589,                 0.9827,                 0.6714,                 1.2493,                 0.5675,                 1.2248,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0731,                0.60202,                 1.0605,                0.93728,                0.94521,                0.97817,                0.66776,                  1.249,                0.57301,                 1.2221,               0.000515,               0.000515,               0.000515
                     78,                 1.0716,                0.60807,                 1.0806,                0.94671,                0.95434,                0.98204,                 0.6554,                 1.2328,                0.55821,                 1.2253,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0356,                0.58054,                 1.0515,                0.94891,                0.94977,                0.98126,                0.65901,                 1.2463,                0.56575,                 1.2341,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0451,                0.59073,                 1.0685,                0.95641,                0.95172,                0.98148,                0.66043,                 1.2526,                0.56367,                 1.2318,              0.0004556,              0.0004556,              0.0004556
                     81,                  1.064,                0.58782,                 1.0592,                0.93579,                0.96119,                0.97991,                 0.6646,                 1.2339,                0.55941,                 1.2158,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0313,                0.57559,                 1.0569,                0.95968,                0.94292,                0.98055,                 0.6648,                 1.2408,                0.55977,                 1.2233,               0.000416,               0.000416,               0.000416
                     83,                 1.0317,                0.57617,                 1.0605,                0.94406,                0.94749,                0.98435,                0.66237,                 1.2397,                0.56311,                 1.2137,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0192,                 0.5649,                  1.034,                 0.9564,                0.95146,                0.98479,                0.67665,                 1.2372,                0.55075,                 1.2155,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0406,                0.57113,                 1.0522,                0.95581,                0.94292,                0.98388,                 0.6719,                 1.2322,                0.55648,                 1.2226,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0054,                0.56931,                 1.0496,                0.96696,                0.93538,                0.98528,                   0.67,                 1.2126,                 0.5522,                 1.2019,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0028,                0.56373,                 1.0452,                0.93993,                 0.9589,                0.98383,                0.67798,                 1.2151,                0.55188,                 1.2036,               0.000317,               0.000317,               0.000317
                     88,                 1.0052,                0.55523,                 1.0368,                0.95206,                0.95216,                0.98245,                  0.679,                   1.22,                0.53928,                 1.2217,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0038,                0.54877,                 1.0387,                0.94386,                0.95966,                0.98191,                0.68075,                 1.2175,                0.54222,                 1.2175,              0.0002774,              0.0002774,              0.0002774
